"tipo_elem";distrito;id;id_cruce;"localizaci";num;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10643;4790;"AV. SECUNDINO SUAZO";42;"2023-10-27 12:03:28";447496.7515111;4482937.620082049;-3.61958190736323;40.49548230928432
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10642;4790;"AV. SECUNDINO SUAZO";40;"2023-10-27 12:03:28";447488.689624824;4482946.76138406;-3.61967779666814;40.49556414865437
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10641;4790;"AV. SECUNDINO SUAZO";40;"2023-10-27 12:03:28";447488.21738044;4482959.107201538;-3.61968439248546;40.4956753360814
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10640;4790;"MANUEL GUTIERREZ MELLADO";40;"2023-10-27 12:03:28";447470.744338217;4482966.798038655;-3.61989121566763;40.49574351322175
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10639;4790;"MANUEL GUTIERREZ MELLADO";;"2023-10-27 12:03:28";447453.743540379;4482965.651159436;-3.62009173369885;40.49573210532161
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10638;4791;"AV. SECUNDINO SUAZO";18;"2023-10-27 11:11:00";447302.292236426;4482936.907498998;-3.62187650084853;40.49546356512025
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10636;4791;"AV. SECUNDINO SUAZO";18;"2023-10-27 11:11:00";447300.496021178;4482948.216065417;-3.62189863710803;40.495565324253
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10635;4791;"AV. SECUNDINO SUAZO";15;"2023-10-27 11:11:00";447300.268331922;4482959.043954517;-3.62190222453047;40.4956628528022
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10637;4791;"AV. SECUNDINO SUAZO";18;"2023-10-27 11:11:00";447300.521319985;4482925.295346904;-3.62189643209083;40.49535884462786
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10616;4792;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:41:12";447142.611793001;4482967.074920033;-3.62376327297781;40.49572517351527
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10620;4792;"AV. SECUNDINO SUAZO";6;"2023-10-27 14:41:12";447163.829058557;4482937.559646009;-3.6235104434311;40.49546063639782
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10623;4792;"MARIA DE LAS MERCEDES DE BORBON";4;"2023-10-27 14:41:12";447142.443134292;4482918.4000167;-3.62376120237919;40.49528667519537
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10622;4792;"MARIA DE LAS MERCEDES DE BORBON";6;"2023-10-27 14:41:12";447153.979389968;4482918.669870635;-3.62362509555273;40.49528984083121
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10621;4792;"AV. SECUNDINO SUAZO";6;"2023-10-27 14:41:12";447163.89652204;4482926.293244268;-3.6235087078137;40.49535914737296
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10615;4792;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:41:12";447140.992669397;4482967.108651775;-3.62378238178753;40.49572537426344
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10614;4792;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:41:12";447129.62507243;4482966.737602616;-3.62391649083183;40.49572130756415
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10624;4792;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:41:12";447141.060132881;4482918.4000167;-3.62377752197743;40.49528658711156
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10625;4792;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:41:12";447128.376997986;4482917.489259673;-3.62392710862986;40.49527757466176
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10619;4792;"AV. SECUNDINO SUAZO";6;"2023-10-27 14:41:12";447161.535300118;4482947.64543679;-3.62353835127745;40.49555134815488
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10618;4792;"AV. SECUNDINO SUAZO";13;"2023-10-27 14:41:12";447162.682179337;4482960.126181234;-3.62352585873735;40.49566385388793
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10617;4792;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:41:12";447153.979389968;4482969.098824537;-3.62362930177875;40.49574412977422
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10610;4793;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:36:01";447128.613120178;4483073.616626327;-3.6239373513304;40.49668406199979
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10613;4793;"MARIA DE LAS MERCEDES DE BORBON";6;"2023-10-27 14:36:01";447155.362391379;4483074.409322257;-3.62362176598613;40.49669290674095
