distrito;id;"descripcion";"fecha_inst";utm_x;utm_y;longitud;latitud
8;1421;"AV. ARROYOFRESNO - CANTALEJO";"29/06/1995";437090.710246095;4480797.232053739;-3.74216044376773;40.47547753452113
8;846;"AV. CARDENAL HERRERA ORIA 423 - P.P.";"01/01/1978";436826.929045704;4480792.09521613;-3.74527159157722;40.47541123767127
8;2232;"MARIA MAEZTU - JUANITA CRUZ";"25/04/2018";438822.563398085;4483018.826620392;-3.7219452003136;40.49561976572077
8;2238;"SENDA DEL INFANTE - MARIA DE MAEZTU";"25/04/2018";438566.308345723;4482704.026719619;-3.72493847438852;40.49276502181372
8;2236;"MARIA DE MAEZTU - FEDERICA MONTSENY - BOMBEROS";"25/04/2018";438362.581296372;4482506.684501147;-3.7273231446311;40.49097219840919
8;2233;"GLORIA FUERTES - JUANITA CRUZ";"25/04/2018";438686.868118426;4483137.380802089;-3.72355787075747;40.49667772450657
8;2235;"GLORIA FUERTES - MARIA CASARES";"25/04/2018";438510.134331465;4482947.333838739;-3.72562490769805;40.4949526475209
8;2239;"SENDA DEL INFANTE - GLORIA FUERTES";"25/04/2018";438414.015937029;4482838.266514327;-3.72674848666552;40.4939630089467
8;2274;"AV. HERRERA ORIA - GASCONES";"26/09/2017";437381.136029507;4480969.701633886;-3.73875150068239;40.47705314204805
8;2275;"AV. HERRERA ORIA - DR. GUIU";"26/09/2017";437596.861198301;4480982.889217001;-3.73620796164381;40.47718817805182
8;4555;"MARIA MAEZTU - MARIA MONTESSORI";"15/03/2019";438164.014568027;4482329.097467221;-3.72964872975393;40.48935767152307
8;4579;"GLORIA FUERTES - MARIA MONTESSORI";"28/11/2019";438011.626382209;4482467.54689198;-3.73146027407795;40.49059350011502
8;4578;"GLORIA FUERTES - IRENE CABA ALBA - P.P.";"28/11/2019";437884.837267184;4482336.468927397;-3.73294341730809;40.48940323251769
8;4577;"MARIA MAEZTU - IRENE CABA ALBA - P.P.";"28/11/2019";437994.202930885;4482157.409458398;-3.73163551209099;40.48779838685249
8;4696;"AV. ARROYO DEL MONTE - FEDERICA MONTSENY - P.P.";"30/08/2022";438520.252431585;4482419.226120546;-3.72545427844589;40.49019603910771
8;709;"LLANO CASTELLANO - MAURICIO LEGENDRE";"18/09/1976";442038.948218772;4481813.295777467;-3.68388153736155;40.48499073247796
8;703;"HERRERA ORIA - NTRA. SRA. VALVERDE - LLANO CASTELLANO";"25/07/1976";441846.992216351;4482486.191298867;-3.6862080076053;40.4910390167602
8;900;"NTRA. SRA. VALVERDE - ISLAS JARVI";"07/02/1979";441803.049620755;4482649.674298638;-3.68674151055616;40.49250865504298
8;890;"NTRA. SRA. VALVERDE - DR. JUAN BRAVO";"31/10/1978";441773.089873884;4482749.679062139;-3.68710420984659;40.49340743514699
8;901;"NTRA. SRA. VALVERDE - PL. ISLAS AZORES";"07/02/1979";441725.773470513;4482915.74876102;-3.687677800309;40.49490013346227
