"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"other";11;49319;1333;"2020-01-23 00:00:00";437034.514967921;4469459.273863086;-3.74170058573327;40.3733366105734
"other";11;49320;1333;"2020-01-23 00:00:00";437027.626942395;4469457.441077798;-3.74178153558746;40.37331957961801
"other";11;49321;1333;"1992-08-13 00:00:00";436978.345149921;4469452.005764317;-3.74236146574986;40.37326689100527
"other";11;49322;1333;"1992-08-13 00:00:00";436971.020977318;4469451.105909069;-3.74244764475826;40.37325823087302
"other";11;49323;1333;"1992-08-13 00:00:00";437016.430012774;4469402.9402938;-3.74190803436702;40.37282776526599
"other";11;49324;1333;"1992-08-13 00:00:00";436971.061603425;4469449.715380816;-3.7424470287576;40.37324570742398
"other";11;49325;1333;"1992-08-13 00:00:00";437028.122864364;4469456.276432706;-3.74177557930332;40.37330912542303
"other";11;49326;1010;"2021-12-15 00:00:00";437620.470115254;4469500.587381264;-3.73480292291594;40.37375284182949
"other";11;49327;1010;"2021-12-15 00:00:00";437627.104453562;4469500.219929323;-3.73472474351955;40.3737500281475
"other";11;49328;1010;"1981-07-02 00:00:00";437626.900052553;4469501.513717033;-3.73472727767634;40.37376166790825
"other";11;49329;1010;"2021-12-15 00:00:00";437770.521791012;4469481.775111509;-3.73303368220793;40.37359458851781
"other";11;49330;1010;"2021-12-15 00:00:00";437763.728862498;4469482.081028063;-3.73311372333608;40.37359683716316
"other";11;49331;1010;"1981-07-02 00:00:00";437763.851193092;4469480.761245934;-3.73311215360052;40.37358495706585
"other";12;49332;821;"2021-05-20 00:00:00";439478.665406631;4469451.27803742;-3.712911163995;40.3734456376357
"other";12;49333;821;"2021-05-20 00:00:00";439485.300124947;4469450.106654439;-3.71283290485423;40.37343556694021
"other";12;49334;821;"2021-05-20 00:00:00";439567.446817356;4469427.138442318;-3.71186315134647;40.37323461738959
"other";12;49335;821;"2021-05-20 00:00:00";439574.371065986;4469425.913376167;-3.71178147724513;40.37322408336495
"other";12;49336;821;"1978-01-01 00:00:00";439478.521354593;4469450.016751476;-3.712912740985;40.37343426485489
"other";12;49337;821;"1978-01-01 00:00:00";439567.213973707;4469425.796095223;-3.71186576666487;40.37322250794209
"other";12;49338;1658;"2020-09-04 00:00:00";439814.384496014;4469337.3160175;-3.70894608890443;40.37244331700976
"other";12;49339;1658;"2020-09-04 00:00:00";439820.85709398;4469335.001151188;-3.70886963306356;40.37242293080495
"other";12;49340;1658;"2000-12-21 00:00:00";439821.210847801;4469336.144049017;-3.70886557427203;40.37243325217539
"other";12;49341;1220;"2021-03-12 00:00:00";440589.243482221;4469158.534756358;-3.69980275996207;40.37088834703971
"other";12;49342;1670;"2015-02-20 00:00:00";441076.985468767;4469175.518938001;-3.69405958961403;40.3710759702959
"other";13;49343;2148;"2012-11-07 00:00:00";443288.351852966;4470388.443246536;-3.66812133729988;40.38215610691759
"other";13;49344;2148;"2012-11-07 00:00:00";443291.231732145;4470390.295868622;-3.66808757643864;40.38217299244089
"other";13;49345;2148;"2012-11-07 00:00:00";443286.920214966;4470374.656292162;-3.66813697527003;40.382031808422
"other";13;49346;2148;"2012-11-07 00:00:00";443292.06244295;4470368.041160984;-3.66807580984733;40.38197256538179
"other";13;49347;2148;"2012-11-07 00:00:00";443303.954485272;4470364.572181132;-3.66793541014592;40.38194212400915
"other";13;49348;2148;"2012-11-07 00:00:00";443311.648386486;4470361.744934326;-3.6678445227019;40.38191717797266
"other";13;49349;2148;"2012-11-07 00:00:00";443314.63069286;4470363.704062369;-3.66780956474806;40.38193502985242
"other";13;49350;2148;"2012-11-07 00:00:00";443291.05546046;4470375.170273685;-3.66808830681276;40.38203672012163
"other";13;49351;2148;"2012-11-07 00:00:00";443293.802423131;4470371.859262466;-3.66805565226064;40.38200707951993
"other";13;49352;2148;"2012-11-07 00:00:00";443307.60551603;4470362.919755667;-3.66789225314925;40.38192748639921
"other";13;49353;2148;"2012-11-07 00:00:00";443311.17744939;4470365.13873419;-3.6678503723796;40.38194771929565
"other";13;49354;2148;"2012-11-07 00:00:00";443308.563472989;4470384.636169847;-3.66788290032114;40.38212318591534
"other";13;49355;2148;"2012-11-07 00:00:00";443305.949460089;4470387.686924979;-3.66791396551503;40.38215049107033
"other";13;49356;2148;"2012-11-07 00:00:00";443302.665856753;4470386.323223112;-3.66795252588979;40.38213798260927
"other";13;49357;2148;"2012-11-07 00:00:00";443307.777587702;4470380.291993503;-3.66789177174374;40.38208399752865
"other";13;49358;2148;"2012-11-07 00:00:00";443289.41769611;4470388.748774651;-3.66810880857697;40.38215893183878
"other";13;49359;2148;"2012-11-07 00:00:00";443313.617420479;4470362.982327034;-3.66782143712032;40.38192845909864
"other";11;49360;1874;"2005-01-25 00:00:00";437179.193247406;4469075.474816841;-3.73995866715963;40.36989008546639
"other";12;49361;1219;"2021-04-13 00:00:00";439651.256886899;4469385.374489193;-3.71087203195056;40.37286445816997
"other";10;49362;1355;"2022-07-28 00:00:00";435935.596071106;4472472.376843493;-3.75494723500082;40.4003961534953
"other";10;49363;1355;"2022-07-28 00:00:00";435955.198201788;4472450.243442219;-3.7547140320674;40.40019827494637
"other";10;49364;1355;"2024-02-13 00:00:00";435956.452605125;4472449.658027261;-3.75469919230433;40.40019309777401
"other";10;49365;1355;"1992-12-22 00:00:00";435934.577808937;4472472.957969094;-3.75495929189158;40.40040131016276
"other";8;49366;2147;"2012-11-26 00:00:00";443081.5317708;4483685.45387154;-3.67174909065639;40.50192803534942
"other";8;49367;2147;"2012-11-26 00:00:00";443084.805957605;4483689.893282609;-3.67171085030456;40.50196825193107
"other";8;49368;2147;"2012-11-26 00:00:00";443094.178006015;4483695.836698906;-3.67160078296701;40.50202243541271
"other";8;49369;2147;"2012-11-26 00:00:00";443106.70686259;4483698.374290838;-3.67145315536449;40.50204615422921
"other";8;49370;2147;"2012-11-26 00:00:00";443110.768381148;4483694.974078317;-3.67140491914802;40.50201580223953
"other";8;49371;2147;"2012-11-26 00:00:00";443113.145959326;4483692.431077401;-3.67137663247295;40.5019930568836
"other";8;49372;2147;"2012-11-26 00:00:00";443113.801335297;4483689.406056261;-3.67136862656239;40.50196585121828
"other";8;49373;2147;"2012-11-26 00:00:00";443120.435835687;4483683.662787464;-3.67128981579066;40.50191456839111
"other";8;49374;2147;"2012-11-26 00:00:00";443122.093486049;4483670.668626011;-3.67126908667077;40.5017976254258
"other";8;49375;2147;"2012-11-26 00:00:00";443118.618025323;4483666.46983268;-3.6713097240664;40.50175956277059
"other";8;49376;2147;"2012-11-26 00:00:00";443109.855878565;4483659.823705597;-3.67141253056037;40.5016990910831
"other";8;49377;2147;"2012-11-26 00:00:00";443097.9668816;4483658.921045793;-3.67155275322565;40.50169014432496
"other";8;49378;2147;"2012-11-26 00:00:00";443093.662968344;4483662.316467302;-3.67160384937763;40.50172043647244
"other";8;49379;2147;"2012-11-26 00:00:00";443090.994799077;4483664.798375784;-3.67163555983307;40.50174261149852
"other";8;49380;2147;"2012-11-26 00:00:00";443085.309168405;4483684.567946982;-3.67170443328723;40.50192031370244
"other";8;49381;2147;"2012-11-26 00:00:00";443089.915878041;4483697.095164959;-3.67165119426706;40.50203347985463
"other";8;49382;2147;"2012-11-26 00:00:00";443105.646081533;4483694.614189902;-3.67146533609776;40.50201220900345
"other";8;49383;2147;"2012-11-26 00:00:00";443109.276018128;4483691.104136943;-3.67142218321648;40.50198083794071
"other";8;49384;2147;"2012-11-26 00:00:00";443117.824704243;4483690.900449236;-3.67132128022712;40.50197958913743
"other";8;49385;2147;"2012-11-26 00:00:00";443121.452435709;4483687.602143634;-3.67127817247186;40.50195012537362
"other";8;49386;2147;"2012-11-26 00:00:00";443118.213339005;4483671.724052193;-3.67131497169597;40.5018068671367
"other";8;49387;2147;"2012-11-26 00:00:00";443114.194163046;4483658.846608723;-3.67136124608587;40.5016905864413
"other";8;49388;2147;"2012-11-26 00:00:00";443096.987886924;4483659.919133331;-3.67156439614854;40.50169906835794
"other";8;49389;2147;"2012-11-26 00:00:00";443092.187069056;4483664.049551641;-3.67162142239525;40.50173594756457
"other";12;49390;997;"2021-04-19 00:00:00";440678.487736283;4469167.163532182;-3.69875242372796;40.37097243575676
"other";12;49391;997;"2025-01-22 00:00:00";440704.466186711;4469165.840179916;-3.69844632014048;40.37096236265196
"other";12;49392;997;"2021-04-19 00:00:00";440713.257870791;4469158.53633609;-3.69834209036207;40.37089719093696
"other";12;49393;997;"2021-04-19 00:00:00";440733.142717844;4469161.543744655;-3.69810816160902;40.37092569739813
"other";12;49394;997;"1981-03-03 00:00:00";440678.531604167;4469165.906578125;-3.69875179008645;40.37096111554225
"other";12;49395;997;"1981-03-03 00:00:00";440704.476693283;4469167.195577301;-3.6984463224511;40.37097457356845
"other";12;49396;997;"1981-03-03 00:00:00";440734.12404251;4469160.199088433;-3.69809647833755;40.37091365376253
"other";12;49397;1220;"2021-03-12 00:00:00";440592.106257771;4469171.968386011;-3.69977029331557;40.37100956860374
"other";12;49398;1220;"1990-08-21 00:00:00";440622.435701674;4469170.316272913;-3.6994129117579;40.37099684648535
"other";12;49399;1220;"1990-08-21 00:00:00";440629.88510307;4469170.56385531;-3.69932519393539;40.37099960745808
"other";12;49400;1220;"1990-08-21 00:00:00";440592.152617781;4469170.666639043;-3.6997696259766;40.37099784505473
"other";12;49401;1220;"1990-08-21 00:00:00";440629.593177753;4469171.808101264;-3.6993287481718;40.37101079551912
"SEMAFORO 3/200 BICI";11;49403;647;"1975-01-29 00:00:00";438723.792813183;4470771.659378425;-3.72192948017414;40.38528513070369
"other";11;49404;647;"2017-10-03 00:00:00";438716.703083372;4470765.285339379;-3.72201238885151;40.38522718880515
"other";11;49405;647;"2017-10-03 00:00:00";438716.470196719;4470759.916745159;-3.72201461599444;40.38517880877617
"other";11;49406;647;"1975-01-29 00:00:00";438720.434156797;4470770.064299359;-3.72196889399212;40.38527051442896
"other";11;49407;647;"2017-10-03 00:00:00";438720.186752246;4470761.437123821;-3.72197097876646;40.38519277845304
"other";17;49414;1893;"2005-07-07 00:00:00";440903.66366488;4467698.958228252;-3.69596419820028;40.35776200315218
"other";13;49415;960;"1980-04-16 00:00:00";442857.287457374;4468635.362515745;-3.67304223388183;40.36633386087978
"other";18;49419;1752;"2003-06-23 00:00:00";445766.464186172;4469682.637767888;-3.63886832964619;40.37596273393627
"other";18;49421;1753;"2003-06-23 00:00:00";445746.547500718;4469757.12449869;-3.63910927369267;40.37663246280639
"other";8;49424;838;"2006-03-08 00:00:00";441466.93790515;4480658.702353885;-3.69052363260645;40.4745495645406
"other";8;49425;838;"1978-01-01 00:00:00";441369.442987504;4480669.165990098;-3.69167468310554;40.47463694839358
"other";1;49426;542;"1972-11-30 00:00:00";440825.573739717;4475303.884686309;-3.69759038248258;40.42626561593035
"other";1;49427;827;"1978-01-01 00:00:00";440567.640715518;4475163.60639308;-3.7006177533216;40.42498353787464
"other";1;49428;827;"1978-01-01 00:00:00";440568.000358053;4475160.595159878;-3.70061323251331;40.42495643697848
"other";2;24824;463;"2025-05-28 00:00:00";439707.783827563;4472748.468605144;-3.71052454267436;40.40316499310286
"other";8;49431;1828;"2014-09-04 00:00:00";442872.724325721;4483171.135035622;-3.67416688114572;40.4972804966381
"other";8;49432;1637;"2022-04-21 00:00:00";437790.508050292;4481889.361233226;-3.73401250969373;40.48536848805284
"other";8;49435;1979;"2006-11-21 00:00:00";440702.18584596;4483104.77332554;-3.69977371417925;40.49653043176042
"other";8;49436;1979;"2006-11-21 00:00:00";440699.786813521;4483102.160071747;-3.69980177856435;40.49650671922526
"other";4;49437;271;"2024-10-31 00:00:00";441954.598601167;4475305.597679459;-3.68428169687634;40.4263605865699
"other";4;49438;271;"2024-10-31 00:00:00";441954.488347101;4475302.91854636;-3.68428275194452;40.42633644392473
"other";4;49443;163;"2019-06-20 00:00:00";441932.137578563;4475022.751049332;-3.6845206342897;40.42381099673437
"other";4;49444;163;"2019-06-20 00:00:00";441931.725367054;4475018.241199058;-3.6845250813793;40.42377034099325
"other";2;24825;463;"2025-05-28 00:00:00";439735.200634497;4472729.055271441;-3.71019962987279;40.40299209334459
"other";4;49446;277;"1968-01-01 00:00:00";441965.503993902;4474855.309426799;-3.68411204633796;40.42230492711716
"other";5;49450;504;"1972-04-11 00:00:00";442578.80606618;4477802.181691133;-3.67714918145449;40.44889435421604
"other";5;49451;504;"2017-04-04 00:00:00";442549.972939425;4477789.628104066;-3.67748804281223;40.44877927343158
"other";5;49452;113;"1964-01-08 00:00:00";442441.304812882;4477928.221888377;-3.67878200444452;40.45002027391118
"other";5;49453;113;"1964-01-08 00:00:00";442447.83372538;4477927.969662771;-3.67870499211793;40.45001845380478
"other";10;49455;1366;"2017-11-03 00:00:00";435629.565820336;4471430.981534035;-3.75844798036629;40.3909912535071
"other";10;49456;1366;"2017-11-03 00:00:00";435628.358900645;4471430.967780945;-3.75846219838886;40.39099103634546
"other";1;49458;458;"1971-09-24 00:00:00";440470.260681092;4473902.450667979;-3.70164759193994;40.41361549092675
"other";1;49459;383;"2018-12-08 00:00:00";440641.277057595;4473758.427741466;-3.699618611754;40.41233027660829
"other";12;49460;1253;"2022-03-24 00:00:00";441046.243403889;4468514.642231923;-3.69436057580527;40.36512024573069
"other";16;49461;2149;"2012-11-20 00:00:00";443912.195745453;4482577.184794335;-3.66184814200796;40.49200084369179
"other";16;49462;2149;"2012-11-20 00:00:00";443915.984119496;4482581.135139097;-3.66180379083178;40.49203668609088
"other";16;49463;2149;"2012-11-20 00:00:00";443920.227861672;4482587.375788847;-3.66175426918718;40.49209319129714
"other";16;49464;2149;"2012-11-20 00:00:00";443926.032442439;4482590.218387368;-3.66168602966589;40.49211919081549
"other";16;49465;2149;"2012-11-20 00:00:00";443929.867753575;4482596.117959122;-3.66164129696414;40.49217259580314
"other";16;49466;2149;"2012-11-20 00:00:00";443933.366936887;4482600.229750296;-3.66160037215664;40.49220987296821
"other";16;49467;2149;"2012-11-20 00:00:00";443916.682892837;4482575.933129263;-3.66179508528205;40.49198987135279
"other";16;49468;2149;"2012-11-20 00:00:00";443922.493323721;4482582.986715258;-3.66172714949824;40.49205380568593
"other";16;49469;2149;"2012-11-20 00:00:00";443924.441372456;4482593.967925828;-3.66170513527846;40.49215286078879
"other";16;49470;2149;"2012-11-20 00:00:00";443929.175189645;4482601.266864583;-3.66164992446562;40.49221893258431
"other";10;49471;245;"2014-09-15 00:00:00";437291.737095663;4473504.31171311;-3.73906915598335;40.40979548655282
"other";11;49472;2150;"2019-02-26 00:00:00";439223.063678713;4471926.665542509;-3.7161579400234;40.39572656075104
"other";11;49473;2150;"2019-02-26 00:00:00";439214.341514338;4471926.917441783;-3.7162607330625;40.39572819342956
"other";11;49474;2150;"2019-02-26 00:00:00";439205.411798251;4471927.695083288;-3.71636602178078;40.3957345470041
"other";11;49475;2150;"2019-02-26 00:00:00";439203.340064031;4471932.765374262;-3.71639091611671;40.39578007138268
"other";11;49476;2150;"2019-02-26 00:00:00";439203.058273285;4471939.910430452;-3.71639491852602;40.39584441690207
"other";11;49477;2150;"2019-02-26 00:00:00";439211.889269945;4471953.822268751;-3.71629219514153;40.395970386024
"other";11;49478;2150;"2019-02-26 00:00:00";439217.937833771;4471954.14491142;-3.71622095841678;40.39597373400442
"other";11;49479;2150;"2019-02-26 00:00:00";439228.152794621;4471947.402343415;-3.71609995657796;40.39591373916809
"other";11;49480;2150;"2019-02-26 00:00:00";439230.328315383;4471942.275993958;-3.71607383416788;40.39586771729795
"other";11;49481;2150;"2012-01-16 00:00:00";439229.94177593;4471934.394846097;-3.71607763642878;40.39579669193198
"other";11;49483;2150;"2012-01-16 00:00:00";439216.949689822;4471953.466655059;-3.71623253653061;40.39596755182835
"other";11;49484;2150;"2012-01-16 00:00:00";439212.926399561;4471954.609700211;-3.71628005027884;40.39597755528299
"other";11;49485;2150;"2012-01-16 00:00:00";439208.041758261;4471930.649120582;-3.71633531627185;40.39576135036281
"other";11;49486;2150;"2012-01-16 00:00:00";439199.804946221;4471937.101315304;-3.7164329827245;40.39581887354801
"other";11;49487;2150;"2012-01-16 00:00:00";439233.148879078;4471937.083139092;-3.71604010521092;40.3958211433736
"other";11;49488;2150;"2012-01-16 00:00:00";439225.669606485;4471944.501940046;-3.71612893802324;40.39588742974168
"other";11;49489;2150;"2012-01-16 00:00:00";439218.146372585;4471950.940557718;-3.71621819542151;40.39594488287005
"other";11;49490;2150;"2019-02-26 00:00:00";439215.597232001;4471951.491960525;-3.71624828343093;40.39594966412533
"other";11;49491;2150;"2012-01-16 00:00:00";439220.48587656;4471929.890415663;-3.71618862082345;40.39575542383474
"other";11;49492;2150;"2012-01-16 00:00:00";439217.143591111;4471923.700558819;-3.7162274104902;40.39569941871269
"other";8;49496;1044;"1982-01-14 00:00:00";439686.282584044;4481540.709460747;-3.71161267611631;40.48236759913907
"other";10;49500;962;"2022-07-07 00:00:00";436542.408922664;4472875.842603756;-3.74783723746657;40.40407720107444
"other";10;49504;962;"1980-04-16 00:00:00";436437.832960402;4472839.397850059;-3.74906590868053;40.40374091515467
